Station number,Station name,Region,Rainfall (mm),Latitude (°),Longitude (°),Elevation (m)
58158,MURWILLUMBAH (BRAY PARK),NSW,199.5,-28.34,153.38,8
58137,KINGSCLIFF (WORAM PLACE),NSW,172.3,-28.26,153.58,5
40981,BURLEIGH WATERS ALERT,QLD,159.0,-28.08,153.43,-999
58204,BOAT HARBOUR (ROUS RIVER),NSW,155.0,-28.32,153.35,30
58186,NORTH MURWILLUMBAH (TWEED RIVER),NSW,150.0,-28.33,153.40,-999
58056,TWEED HEADS GOLF CLUB,NSW,140.6,-28.20,153.55,5
40417,MIAMI BARDON AVE,QLD,133.0,-28.07,153.42,5
40717,COOLANGATTA,QLD,121.8,-28.17,153.51,4
40848,LOWER SPRINGBROOK ALERT,QLD,108.2,-28.21,153.27,705
97085,MOUNT READ,TAS,101.8,-41.84,145.54,1120
58193,EUNGELLA (OXLEY RIVER),NSW,100.5,-28.35,153.29,20
40856,RAINBOW BEACH,QLD,100.0,-25.90,153.09,14
140010,TIN CAN BAY (DEFENCE),QLD,99.8,-25.94,152.96,31
40714,ROUND MOUNTAIN TM,QLD,97.0,-28.07,152.93,44
40945,ROUND MOUNTAIN ALERT,QLD,96.0,-28.07,152.93,62
40659,GREENBANK THOMPSON ROAD,QLD,95.6,-27.70,152.94,77
40197,MT TAMBORINE FERN ST,QLD,94.0,-27.97,153.20,515
40847,HINZE DAM HW ALERT,QLD,89.0,-28.05,153.28,82
40941,KOORALBYN ALERT,QLD,89.0,-28.07,152.85,326
40335,MT TAMBORINE ALERT,QLD,88.0,-27.97,153.21,520
40341,WONGAWALLAN ALERT,QLD,86.2,-27.88,153.21,360
40892,MT KANIGAN AL,QLD,86.0,-25.96,152.58,330
40688,MIVA,QLD,85.6,-25.96,152.49,44
40826,MIVA TM,QLD,82.0,-25.95,152.50,17
40881,AIR SEA RESCUE ALERT,QLD,81.0,-27.95,153.42,3
40761,WOLFFDENE ALERT,QLD,80.0,-27.78,153.19,0
59138,BOWRA SUGARLOAF,NSW,80.0,-30.66,152.65,870
59140,DORRIGO (OLD CORAMBA RD),NSW,80.0,-30.34,152.72,746
58208,CASINO AIRPORT AWS,NSW,76.6,-28.88,153.06,21
59078,PROMISED LAND (BELLINGEN (CRYSTAL CREEK),NSW,76.0,-30.35,152.90,105
97006,LAKE MARGARET DAM,TAS,75.4,-41.99,145.57,665
40478,K\'GARI EURONG,QLD,75.1,-25.50,153.13,9
58214,LISMORE AIRPORT AWS,NSW,74.8,-28.83,153.26,9
40846,CLEARVIEW ALERT,QLD,74.0,-28.00,153.31,3
40937,BENOBBLE ALERT,QLD,74.0,-28.00,153.16,72
40416,CLEARVIEW TM,QLD,73.0,-28.00,153.31,3
58070,ROSEBANK (REPENTANCE CREEK),NSW,72.8,-28.64,153.41,75
40938,BROMFLEET ALERT,QLD,71.0,-27.91,153.10,28
83084,FALLS CREEK,VIC,71.0,-36.87,147.28,1765
40120,LOWOOD DON ST,QLD,70.0,-27.46,152.57,51
40914,MT TARAMPA,QLD,69.4,-27.49,152.50,74
40844,BEECHMONT ALERT,QLD,69.0,-28.13,153.19,520
60165,MOORAL CREEK (THE DEN),NSW,68.0,-31.66,152.37,649
33076,YAAMBA,QLD,66.8,-23.13,150.37,19
40738,BROMFLEET TM,QLD,66.0,-27.91,153.11,28
40936,LUMEAH ALERT,QLD,66.0,-28.06,153.04,90
40284,BEERBURRUM FOREST STATION,QLD,65.4,-26.96,152.96,48
40944,RUDDS LANE ALERT,QLD,65.0,-28.17,152.98,87
40845,BINNA BURRA ALERT,QLD,64.0,-28.20,153.19,780
40068,DOUBLE ISLAND POINT LIGHTHOUSE,QLD,63.8,-25.93,153.19,96
85291,MOUNT BAW BAW,VIC,63.0,-37.84,146.27,1561
40785,CAROLE PARK ALERT,QLD,62.0,-27.60,152.95,80
40998,CALOUNDRA AIRPORT,QLD,61.4,-26.80,153.11,9
40874,BRISBANE ROAD ALERT,QLD,60.0,-27.61,152.91,-999
40189,SOMERSET DAM,QLD,59.2,-27.11,152.56,113
58206,CORNDALE (COOPERS CREEK),NSW,59.0,-28.72,153.36,25
58040,MULLUMBIMBY (FAIRVIEW FARM),NSW,58.8,-28.55,153.49,15
140008,CANUNGRA (DEFENCE),QLD,56.4,-28.04,153.19,108
40906,LENTHALLS DAM ALERT,QLD,56.0,-25.40,152.53,24
59148,KALANG (SPICKETTS CK (NOONANNIE)),NSW,55.4,-30.56,152.87,60
40922,KINGAROY AIRPORT,QLD,55.2,-26.57,151.84,434
40782,COORAN TM,QLD,55.0,-26.33,152.81,70
40825,MARODIAN TM,QLD,55.0,-25.90,152.35,19
40878,WATERFORD ALERT,QLD,55.0,-27.69,153.14,0
40211,ARCHERFIELD AIRPORT,QLD,54.2,-27.57,153.01,13
40931,O\'REILLYS ALERT,QLD,54.0,-28.23,153.14,913
40935,MACLEAN BRIDGE ALERT,QLD,54.0,-27.79,153.02,3
